No.1: 1.ÒÁÀûÑÇ(+48.3) 2.³©³©(-2.1) 3.yuyu(-11.5) 4.×ÏæÌ(-34.7) 
No.2: 1.yuyu(+42.6) 2.Àæ»¨(+16.7) 3.ÍýÏë(-27.1) 4.³©³©(-32.2) 
No.3: 1.³©³©(+35.7) 2.ÍýÏë(+5.5) 3.°×(-6.1) 4.¹ù¼Î(-35.1) 
No.4: 1.³©³©(+55.0) 2.ÍýÏë(-3.0) 3.¹ù¼Î(-12.4) 4.°×(-39.6) 
No.5: 1.³©³©(+41.1) 2.yuyu(+8.8) 3.ÍÃÍÃ(-2.6) 4.¸ë×Ó(-47.3) 
No.6: 1.yuyu(+33.8) 2.´¨ÆÕ(+3.1) 3.Àæ»¨(-10.5) 4.ÄûÃÊ(-26.4) 
No.7: 1.ËÄ½ã(+57.4) 2.¹ù¼Î(-0.2) 3.³©³©(-17.9) 4.yuyu(-39.3) 
No.8: 1.³©³©(+35.1) 2.yuyu(-4.2) 3.³õÊ¼(-12.4) 4.¹ù¼Î(-18.5) 
No.9: 1.³©³©(+37.0) 2.yuyu(-1.4) 3.´óµÛ(-13.1) 4.Àæ»¨(-22.5) 
No.10: 1.noname(+67.0) 2.¸ë×Ó(-6.6) 3.¿ÈÑª(-25.2) 4.yuyu(-35.2) 
No.11: 1.¹ù¼Î(+37.5) 2.³©³©(+7.7) 3.yuyu(-14.2) 4.ÍýÏë(-31.0) 
No.12: 1.Àæ»¨(+47.0) 2.ÍýÏë(+1.0) 3.¹ù¼Î(-15.7) 4.´óµÛ(-32.3) 
No.13: 1.¸ë×Ó(+69.2) 2.¹ù¼Î(-4.2) 3.ÓñÃ×(-20.1) 4.´óµÛ(-44.9) 
No.14: 1.´óµÛ(+55.5) 2.³©³©(+4.2) 3.ËÄ½ã(-16.8) 4.yuyu(-42.9) 
No.15: 1.L22(+37.2) 2.¿ÈÑª(+4.8) 3.×ÏæÌ(-18.6) 4.³©³©(-23.4) 
No.16: 1.¿ÈÑª(+43.4) 2.¸ë×Ó(-2.3) 3.³©³©(-16.6) 4.ËÄ½ã(-24.5) 
No.17: 1.¸ë×Ó(+35.6) 2.¿ÈÑª(+8.8) 3.ËÄ½ã(-4.0) 4.³©³©(-40.4) 
No.18: 1.¿ÈÑª(+37.5) 2.yuyu(+0.7) 3.³©³©(-8.6) 4.L22(-29.6) 
No.19: 1.¿ÈÑª(+39.2) 2.ËÄ½ã(+2.6) 3.³©³©(-11.1) 4.¸ë×Ó(-30.7) 
No.20: 1.´óµÛ(+30.4) 2.yuyu(-0.3) 3.¿ÈÑª(-9.5) 4.³©³©(-20.6) 
No.21: 1.×ÏæÌ(+73.5) 2.¸ë×Ó(-17.1) 3.³©³©(-25.9) 4.L22(-30.5) 
No.22: 1.¿ÈÑª(+65.8) 2.yuyu(-3.2) 3.¸ë×Ó(-23.0) 4.L22(-39.6) 
No.23: 1.¸ë×Ó(+46.0) 2.³õÊ¼(-0.7) 3.³©³©(-17.2) 4.×ÏæÌ(-28.1) 
No.24: 1.¿ÈÑª(+50.1) 2.Àæ»¨(+5.4) 3.¹ù¼Î(-22.7) 4.×ÏæÌ(-32.8) 
No.25: 1.¸ë×Ó(+43.4) 2.L22(+2.5) 3.×ÏæÌ(-16.1) 4.³©³©(-29.8) 
No.26: 1.yuyu(+52.8) 2.³õÊ¼(+6.6) 3.Àæ»¨(-22.6) 4.¹ù¼Î(-36.8) 
No.27: 1.Àæ»¨(+41.5) 2.L22(+8.5) 3.¿ÈÑª(-9.0) 4.yuyu(-41.0) 
No.28: 1.Àæ»¨(+44.0) 2.¿ÈÑª(+14.6) 3.L22(-18.6) 4.¸ë×Ó(-40.0) 
No.29: 1.L22(+55.8) 2.¿ÈÑª(-3.9) 3.Àæ»¨(-14.3) 4.¸ë×Ó(-37.6) 
No.30: 1.L22(+34.8) 2.³õÊ¼(+1.1) 3.°×(-14.6) 4.¿ÈÑª(-21.3) 
No.31: 1.³õÊ¼(+42.2) 2.¹ù¼Î(+13.1) 3.L22(-24.2) 4.³¯¾ú(-31.1) 
No.32: 1.°×(+52.2) 2.³©³©(+6.5) 3.ËÄ½ã(-23.0) 4.L22(-35.7) 
No.33: 1.ËÄ½ã(+47.2) 2.L22(-1.9) 3.³©³©(-12.7) 4.°×(-32.6) 
No.34: 1.yuyu(+47.2) 2.¿ÈÑª(-1.5) 3.¸ë×Ó(-19.4) 4.L22(-26.3) 
No.35: 1.³©³©(+47.3) 2.³õÊ¼(+7.7) 3.L22(-20.9) 4.¹ù¼Î(-34.1) 
No.36: 1.¿ÈÑª(+61.2) 2.L22(-2.4) 3.yuyu(-22.6) 4.³©³©(-36.2) 
No.37: 1.¿ÈÑª(+42.2) 2.L22(+1.5) 3.°×(-19.8) 4.ËÄ½ã(-23.9) 
No.38: 1.ËÄ½ã(+49.0) 2.L22(+20.1) 3.°×(-20.2) 4.¿ÈÑª(-48.9) 
No.39: 1.°×(+67.6) 2.¿ÈÑª(+0.2) 3.L22(-29.9) 4.ÕÑ¾ý(-37.9) 
No.40: 1.³©³©(+30.0) 2.yuyu(+0.2) 3.ÕÑ¾ý(-9.2) 4.noname(-21.0) 
No.41: 1.yuyu(+30.8) 2.³©³©(+2.9) 3.L22(-14.8) 4.ÕÑ¾ý(-18.9) 
No.42: 1.L22(+38.7) 2.¹ù¼Î(-0.2) 3.³©³©(-9.9) 4.ÕÑ¾ý(-28.6) 
No.43: 1.¶Ì¶Ì(+33.7) 2.»¨»¨(-2.1) 3.³¯¾ú(-12.5) 4.yuyu(-19.1) 
No.44: 1.³©³©(+30.7) 2.¶Ì¶Ì(+2.4) 3.»¨»¨(-13.8) 4.L22(-19.3) 
No.45: 1.yuyu(+49.4) 2.»¨»¨(-1.3) 3.¶Ì¶Ì(-19.6) 4.L22(-28.5) 
No.46: 1.yuyu(+38.1) 2.¿ÈÑª(+10.7) 3.L22(-10.0) 4.Ò»Éí(-38.8) 
No.47: 1.³¯¾ú(+36.3) 2.yuyu(+6.9) 3.noname(-7.6) 4.noname(-35.6) 
No.48: 1.L22(+34.4) 2.³©³©(+3.9) 3.Ò»Éí(-12.9) 4.ÕÑ¾ý(-25.4) 
No.49: 1.L22(+28.4) 2.Ò»Éí(-0.5) 3.³©³©(-10.1) 4.yuyu(-17.8) 
No.50: 1.¶Ì¶Ì(+38.6) 2.L22(+2.0) 3.»¨»¨(-13.7) 4.Ò»Éí(-26.9) 
No.51: 1.ÁúÁú(+41.1) 2.yuyu(+2.7) 3.ÍÃÍÃ(-13.4) 4.Àæ»¨(-30.4) 
No.52: 1.Ðø(+39.5) 2.L22(-5.1) 3.»¨»¨(-13.5) 4.¶Ì¶Ì(-20.9) 
No.53: 1.L22(+37.7) 2.Ò»Éí(+1.1) 3.»¨»¨(-15.9) 4.¶Ì¶Ì(-22.9) 
No.54: 1.L22(+46.3) 2.³õÊ¼(+15.2) 3.¹ù¼Î(-16.3) 4.½¢ëà(-45.2) 
No.55: 1.L22(+61.0) 2.Ò»Éí(+5.8) 3.»¨»¨(-29.0) 4.³©³©(-37.8) 
No.56: 1.L22(+29.0) 2.·¢·¢(+4.5) 3.¶Ì¶Ì(-12.9) 4.ÕÑ¾ý(-20.6) 
No.57: 1.L22(+32.3) 2.·¢·¢(+3.1) 3.³©³©(-15.1) 4.¶Ì¶Ì(-20.3) 
No.58: 1.³¯¾ú(+53.5) 2.»¨»¨(+8.0) 3.¶Ì¶Ì(-16.5) 4.Ò»Éí(-45.0) 
No.59: 1.³¯¾ú(+45.1) 2.L22(+5.2) 3.¹ù¼Î(-11.7) 4.³©³©(-38.6) 
No.60: 1.¶Ì¶Ì(+47.1) 2.Ò»Éí(+9.8) 3.ÕÑ¾ý(-24.7) 4.»¨»¨(-32.2) 
No.61: 1.»¨»¨(+33.0) 2.¶Ì¶Ì(+7.3) 3.L22(-16.5) 4.¹ù¼Î(-23.8) 
No.62: 1.»¨»¨(+56.7) 2.¶Ì¶Ì(+4.2) 3.L22(-22.6) 4.ËÄ½ã(-38.3) 
No.63: 1.Noname(+49.3) 2.³©³©(-2.9) 3.¿ÈÑª(-19.5) 4.×ÏæÌ(-26.9) 
No.64: 1.Ò»Éí(+68.0) 2.³¯¾ú(-7.3) 3.L22(-18.9) 4.Àæ»¨(-41.8) 
No.65: 1.³¯¾ú(+36.2) 2.L22(+0.1) 3.³õÊ¼(-13.4) 4.Ò»Éí(-22.9) 
